Name, Link, Address 
Acoustic Music Centre @ UCC, /venues/acoustic-music-centre-ucc, 14 Royal Terrace, EH7 5ABVenue no. 138Accessibility details »- 
Alba Flamenca, /venues/alba-flamenca-2, 74 East Crosscauseway, EH8 9HQVenue no. 237Accessibility details »- 
Architecture & Design Scotland, /venues/architecture-design-scotland, 9 Bakehouse Close, EH8 8DDVenue no. 293-- 
Argyle Cellar Bar, /venues/argyle-cellar-bar, 15-17 Argyle Place, EH9 1JJVenue no. 293Accessibility details »- 
Army @ The Fringe in Association with Summerhall, /venues/army-the-fringe-in-association-with-summerhall-1, 89 East Claremont Street, EH7 4HUVenue no. 210Accessibility details »- 
Arthur Conan Doyle Centre, /venues/arthur-conan-doyle-centre, 25 Palmerston Place, EH12 5APVenue no. 290Accessibility details »- 
[email protected], /venues/artspace-stmarks, 7 Castle Terrace, EH1 2DPVenue no. 125Accessibility details »- 
Assembly Checkpoint, /venues/assembly-checkpoint, 3 Bristo Place, EH1 1EYVenue no. 322Accessibility details »- 
Assembly George Square, /venues/assembly-george-square-1, George Square, EH8 9LHVenue no. 8Accessibility details »- 
Assembly George Square Gardens, /venues/assembly-george-square-gardens, George Square, EH8 9LHVenue no. 3Accessibility details »- 
Assembly George Square Studios, /venues/assembly-george-square-studios, George Square, EH8 9LHVenue no. 17Accessibility details »- 
Assembly Hall, /venues/assembly-hall, Mound Place, EH1 2LUVenue no. 35Accessibility details »- 
Assembly Rooms, /venues/assembly-rooms-1, 54 George Street, EH2 2LRVenue no. 20Accessibility details »- 
Assembly Roxy, /venues/assembly-roxy, 2 Roxburgh Place, EH8 9SUVenue no. 139Accessibility details »- 
Auld Reekie Tours Police Box, /venues/auld-reekie-tours-police-box, 300 Lawnmarket, EH1 2PHVenue no. 306Accessibility details »- 
Bannermans, /venues/bannermans, 212 Cowgate, EH1 1NQVenue no. 357-- 
Bedlam Theatre, /venues/bedlam-theatre-2, 11b Bristo Place, EH1 1EZVenue no. 49Accessibility details »- 
Bellfield, /venues/bellfield, 16A Bellfield St, EH15 2BPVenue no. 466-- 
Birch Tree Gallery, /venues/birch-tree-gallery, 23a Dundas Street, EH3 6QQVenue no. 525Accessibility details »- 
Black City of the Dead Signs, /venues/black-city-of-the-dead-signs, Next to St Giles Cathedral, Royal Mile, EH1 1REVenue no. 213-- 
